ReviewID,ProductID,Rating,ReviewText
R1,P012,4,Highly recommended
R2,P012,5,Excellent product!
R3,P004,3,Serves the purpose
R4,P016,5,Great value for money
R5,P004,5,Very useful and good quality
R6,P005,2,Won't buy again
R7,P005,3,Average quality
R8,P008,3,Serves the purpose
R9,P010,3,It's okay
R10,P017,5,Highly recommended
R11,P009,4,"Fantastic, will buy again"
R12,P019,3,It's okay
R13,P014,5,Excellent product!
R14,P008,2,Not worth it
R15,P009,4,Very useful and good quality
R16,P011,2,Won't buy again
R17,P001,4,Excellent product!
R18,P014,5,Very useful and good quality
R19,P005,1,Defective on arrival
R20,P014,4,Very useful and good quality
R21,P004,2,Bad experience
R22,P001,5,Great value for money
R23,P019,4,Excellent product!
R24,P008,1,Very disappointed
R25,P015,1,Defective on arrival
R26,P015,3,Nothing special
R27,P009,3,Nothing special
R28,P009,2,Very disappointed
R29,P010,4,Very useful and good quality
R30,P020,4,Five stars
R31,P009,3,It's okay
R32,P003,4,Highly recommended
R33,P020,4,"Fantastic, will buy again"
R34,P011,1,Not worth it
R35,P006,3,Nothing special
R36,P002,5,Five stars
R37,P007,3,Neither good nor bad
R38,P018,5,Great value for money
R39,P002,1,Terrible product
R40,P017,2,Bad experience
R41,P011,4,Highly recommended
R42,P012,1,Defective on arrival
R43,P019,4,Highly recommended
R44,P007,2,Poor quality
R45,P020,2,One star
R46,P006,1,Won't buy again
R47,P001,2,Not worth it
R48,P017,5,Excellent product!
R49,P011,2,Won't buy again
R50,P018,4,Great value for money
R51,P017,4,Highly recommended
R52,P007,4,Very useful and good quality
R53,P017,4,Highly recommended
R54,P020,5,"Fantastic, will buy again"
R55,P009,3,Nothing special
R56,P017,1,Bad experience
R57,P020,4,Five stars
R58,P008,2,Very disappointed
R59,P017,4,Five stars
R60,P007,2,One star
R61,P001,2,Won't buy again
R62,P013,4,Great value for money
R63,P019,5,Highly recommended
R64,P019,2,Very disappointed
R65,P017,2,Won't buy again
R66,P013,4,Loved it
R67,P016,2,Bad experience
R68,P008,2,Defective on arrival
R69,P019,4,Great value for money
R70,P018,4,Very useful and good quality
R71,P001,1,One star
